title,label
Scientists Confirm Earth is Flat After New Study,0
President Announces New Economic Relief Package,1
Eating Chocolate Daily Can Cure Cancer Says Doctor,0
Stock Market Reaches Record High Amid Strong GDP Growth,1
Aliens Found Living in Antarctica Government Confirms,0
New Climate Change Report Shows Rising Global Temperatures,1
Drinking Bleach Cures All Diseases Medical Breakthrough,0
Local School Wins National Science Competition,1
5G Towers Cause COVID-19 Pandemic Expert Claims,0
Unemployment Rate Drops to Lowest Level in Decade,1
Bill Gates Planning to Microchip Everyone Through Vaccines,0
New Study Links Exercise to Improved Mental Health,1
Dinosaurs Still Alive in Remote Jungle Explorer Reports,0
Supreme Court Rules on Major Healthcare Case,1
Pope Francis Endorses Presidential Candidate in Shocking Move,0
NASA Successfully Launches New Mars Rover Mission,1
Celebrities Are Actually Reptilian Aliens Insider Reveals,0
Federal Reserve Raises Interest Rates to Combat Inflation,1
Tap Water Contains Mind Control Chemicals Leaked Document Shows,0
University Researchers Develop New Cancer Treatment Method,1
Moon Landing Was Fake Hollywood Production Whistleblower Says,0
Congress Passes Bipartisan Infrastructure Bill,1
Eating Pizza Every Day Makes You Live Longer Study Finds,0
Tech Company Reports Record Quarterly Earnings,1
Government Hiding Cure for Diabetes to Profit Big Pharma,0
New Archaeological Discovery Sheds Light on Ancient Civilization,1
Vaccines Contain Tracking Devices Secret Document Leaked,0
International Trade Agreement Signed Between Major Nations,1
Bigfoot Captured on Camera in Pacific Northwest,0
Central Bank Announces New Monetary Policy Framework,1
Chemtrails Used for Population Control Pilot Confesses,0
Olympic Committee Announces Host City for 2028 Games,1
Drinking Hot Water Prevents All Viral Infections,0
Major Automaker Recalls Vehicles Due to Safety Concerns,1
Secret Society Controls World Governments Insider Exposes,0
Scientists Successfully Clone Endangered Species,1
Fluoride in Water Lowers IQ Research Paper Claims,0
Housing Market Shows Signs of Recovery in Major Cities,1
Holding Your Breath Kills Coronavirus Instantly,0
Nobel Prize Awarded to Groundbreaking Medical Researcher,1
Government Plans Fake Alien Invasion to Control Population,0
New Renewable Energy Plant Opens Creating Thousands of Jobs,1
Microwaves Destroy All Nutrients in Food Study Shows,0
International Summit Addresses Global Climate Change Crisis,1
Doctors Hate This One Weird Trick to Lose Weight Fast,0
Supreme Court Justice Announces Retirement Plans,1
Reading in Dim Light Causes Permanent Blindness,0
Major Corporation Announces Green Initiative Plan,1
Cracking Knuckles Causes Arthritis Medical Fact,0
Educational Reform Bill Passes in State Legislature,1
Sugar Industry Conspiracy Hides Health Dangers,0
Central Bank Governor Delivers Policy Speech,1
Shaving Makes Hair Grow Back Thicker Science Proves,0
Technology Conference Showcases Latest Innovations,1
Lightning Never Strikes Same Place Twice Meteorologists Confirm,0
Federal Court Rules on Landmark Civil Rights Case,1
Humans Only Use 10 Percent of Brain Capacity,0
International Organization Reports Progress on Global Goals,1
Bulls Get Angry When They See Red Color,0
Regional Elections Set for Next Month Officials Announce,1
You Can See Great Wall of China From Space,0
National Parks Service Expands Conservation Efforts,1
Eating Carrots Gives You Perfect Night Vision,0
Trade Commission Investigates Market Competition Practices,1
Goldfish Have Three Second Memory Span Scientists Say,0
Healthcare Provider Expands Services to Rural Areas,1
Coffee Stunts Your Growth Pediatricians Warn,0
Transportation Department Unveils New Infrastructure Projects,1
Touching Toads Gives You Warts Dermatologists Confirm,0
Education Department Releases New Curriculum Standards,1
Swallowed Gum Stays in Stomach for Seven Years,0
Environmental Agency Sets New Emission Standards,1
Bats Are Actually Blind Zoologists Discover,0
Financial Regulator Announces New Consumer Protection Rules,1
Penguins Fall Backwards Looking at Airplanes,0
Labor Department Reports Job Growth in Manufacturing Sector,1
Daddy Longlegs Are Most Venomous Spiders,0
Public Health Officials Recommend Updated Vaccination Schedule,1
You Lose Most Body Heat Through Your Head,0
Science Foundation Awards Grants for Research Projects,1
Different Tongue Areas Taste Different Flavors,0
Attorney General Announces Investigation into Corporate Fraud,1
Sharks Must Keep Swimming or They Die,0
Housing Authority Approves Affordable Housing Development,1
Ostriches Bury Their Heads in Sand When Scared,0
Technology Standards Organization Updates Security Protocols,1
Chameleons Change Color to Match Their Surroundings,0
International Court Issues Ruling on Maritime Dispute,1
Lemmings Commit Mass Suicide by Jumping Off Cliffs,0
Energy Department Invests in Grid Modernization,1
Touching Baby Birds Makes Parents Abandon Them,0
Central Government Announces Pension Reform Package,1
Dogs Age Seven Years for Each Human Year,0
Agricultural Department Reports Crop Yield Forecasts,1
Vikings Wore Horned Helmets in Battle,0
National Institute Publishes Healthcare Quality Report,1
Napoleon Was Extremely Short in Height,0
Commerce Department Reports Export Growth Numbers,1
You Only Remember Information While Sleeping,0
Public Works Department Approves Water System Upgrades,1
Medieval People Believed Earth Was Flat,0
Defense Department Announces Military Base Realignment,1
Albert Einstein Failed Mathematics in School,0
Transit Authority Expands Public Transportation Routes,1
Cracking Your Neck Can Cause Stroke Instantly,0
Regulatory Agency Updates Industry Compliance Guidelines,1
Eating Before Swimming Causes Cramps and Drowning,0
State Department Issues Travel Advisory for Region,1
Going Outside With Wet Hair Causes Pneumonia,0
Telecommunications Regulator Auctions Wireless Spectrum,1
Reading in Dark Damages Your Eyesight Permanently,0
Treasury Department Announces Debt Ceiling Agreement,1
Eating Late at Night Makes You Gain Weight,0
Veterans Affairs Expands Healthcare Benefits Coverage,1
Drinking Cold Water After Meals Causes Cancer,0
Space Agency Announces Satellite Launch Schedule,1
Cracking Eggs on Counter Edge Spreads Bacteria,0
Aviation Authority Updates Flight Safety Regulations,1
Microwaving Food in Plastic Releases Deadly Toxins,0
Postal Service Announces Holiday Shipping Deadlines,1
Cell Phones Cause Brain Cancer Studies Prove,0
Census Bureau Releases Population Growth Statistics,1
Aluminum Deodorant Causes Breast Cancer Research Shows,0
Maritime Administration Updates Shipping Safety Standards,1
Eating Fish and Milk Together Is Poisonous,0
Patent Office Reports Record Number of Applications,1
